url,title,price,fabricante,sku,Articulo,Marca Comercial,Presentacion,Referencia Proveedor,Diametro,Capacidad,Categoria,Subcategoria
https://www.ferreteriasindustriales.es/burletes/29350-burlete-doble-rollo-bajo-puerta-95cm-marron-8435323901567.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Marr Burcasa| Ferreterias Industriales ,"5,25 €","Burcasa Rtmd, S.L.",103517,Burlete Bajo Puerta,Burcasa,Unidad,110031,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/111148-burlete-bajo-puerta-35x1000x8mm-adh-mad-inofix-8414419011502.html,Comprar Burlete Bajo Puerta 35X1000X8Mm Adh Mad Inofix| Ferreterias Industriales ,"7,68 €",Saint Genis S.A.,132282,Burlete Bajo Puerta,Inofix,Unidad,2157-9-,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/37292-perfil-adh-20x10mm-esponja-neopreno-ne-100-mt-tecnogoma-8435229622504.html,Comprar Perfil Adh 20X10Mm Esponja/Neopreno Ne 100 Mt Tecnogoma| Ferreterias Industriales ,"80,68 €",Vera Articulos De Goma S.L.-Tecnogoma-,116614,Perfil Adhesivo,Tecnogoma,Bobina 100 Metros,450708,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/13122-burlete-pvc-transpalabio-1m-8435159723074.html,Comprar Burlete Bajo Pta 100Cm Adh Labio Pvc Tra Burcasa| Ferreterias Industriales ,"4,39 €","Burcasa Rtmd, S.L.",111148,Burlete Bajo Puerta,Burcasa,Blister,107322,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/14635-burlete-doble-rollo-bajo-puert-8435159732779.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Gr Burcasa| Ferreterias Industriales ,"5,25 €","Burcasa Rtmd, S.L.",74629,Burlete Bajo Puerta,Burcasa,Unidad,110030,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11134-burlete-adhemad915cmsapely-8435159736951.html,"Comprar Burlete Bajo Pta 091,5Cm Adh Cepi Mad Sapel Burcasa| Ferreterias Industriales ","4,53 €","Burcasa Rtmd, S.L.",61752,Burlete Bajo Puerta,Burcasa,Unidad,127360,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/8846-burlete-flecos-ventana7x5mm6m-8435159737002.html,Comprar Burlete Ventana 06Mt Cepillo 7X5Mm Burcasa| Ferreterias Industriales ,"2,12 €","Burcasa Rtmd, S.L.",50089,Burlete Ventana,Burcasa,Unidad,127410,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/38116-burlete-bajo-pta-095cm-doble-rollo-pvc-bl-burcasa-8435323903301.html,Comprar Burlete Bajo Pta 095Cm Doble Rollo Pvc Bl Burcasa| Ferreterias Industriales ,"5,25 €","Burcasa Rtmd, S.L.",117526,Burlete Bajo Puerta,Burcasa,Bolsa,110034,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11126-burlete-basculan815cmsapely-8435159736814.html,"Comprar Burlete Bajo Pta 081,5Cm Torn Cepi Mad Sapel Basc Burcasa| Ferreterias Industriales ","6,11 €","Burcasa Rtmd, S.L.",61744,Burlete Bajo Puerta,Burcasa,Unidad,127210,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/13133-burlete-transparente-flecos-1m-8435159789872.html,Comprar Burlete Bajo Pta 100Cm Adh Flecos Pvc Rigido Tra Burcasa| Ferreterias Industriales ,"3,84 €","Burcasa Rtmd, S.L.",110908,Burlete Bajo Puerta,Burcasa,Unidad,107320,,,Para el hogar,Burletes
