url,title,price,fabricante,sku,Articulo,Marca Comercial,Presentacion,Referencia Proveedor,Diametro,Capacidad,Categoria,Subcategoria
https://www.ferreteriasindustriales.es/calefaccion-electrica/27393-tubo-evacuacion-pvc-serie-b-i32-3mt-multicel-8422680074676.html,Convector Electrico  Suelo 2000W Turbo Termostato Vivah,"38,95 €",,101890,Convector Electrico,Vivahogar,Caja,VH101890,,,Climatizacion,Calefacción Eléctrica
https://www.ferreteriasindustriales.es/extractores/9711-embellecedor-alumiblan100mm-8435112300533.html,Embellecedor Extraccion/Aire Tuberia 100Mmø Aluminio  Blanco Aluminio star Vacuf,"5,97 €","Vacuflex, S.L.",54131,Embellecedor Tuberia,Vacuflex,Unidad,192140,100Mm,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/11404-salvachispas-ibero-1panel-8422680010353.html,Salvachispas Chimenea 1Pan 67X61CM H. Ibero Flor Lys Vivah,"28,94 €",,62793,Salvachispas Chimenea,Vivahogar,Unidad,VH62793,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/extractores/9909-extractor-lhv-190-con-rejilla-8422248009331.html,Extractor Industrial Helicoidal 190Mm Con Rejilla Lhv 190 Cata,"41,93 €",Cata Electrodomesticos S.L.,55143,Extractor Industrial,Cata,Unidad,00661000,,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/21332-tenaza-lumbre-106-70240-2x40-unidad-8427514001118.html,Tenaza Chimenea Lumbre 40Cm H. El Zorro,"4,79 €",Imex-El Zorro S.L,2965,Tenaza Chimenea,Imex El Zorro,Unidad,70240,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/estufas-de-lena/73729-insertable-frontal-con-cristal-vision-modelo-cairo-90-8421994133765.html,Insertable Frontal Con Cristal Vision  Modelo Cairo-90,"1.379,40 €",Bronpi,CAIRO-90,Estufa Leña,Bronpi,,,,,Climatizacion,Estufas de Leña
https://www.ferreteriasindustriales.es/extractores/9722-sombrerete-aluminio-blan111mm-8435112300670.html,Sombrerete Extraccion/Aire Tuberia 111Mmø Aluminio blanco Alustar Vacuf,"16,11 €","Vacuflex, S.L.",54145,Sombrerete Estufa,Vacuflex,Unidad,193010,111Mm,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/35132-deshollinador-estufa-tubo-175gr-quimico-ok-fuego-8426584502525.html,Deshollinador Estufa Tubo 175Gr Quimico Ok Fuego,"3,53 €",Productos Flower S.A.,112520,Deshollinador Estufa,Ok Fuego,Unidad,50252,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/extractores/9729-embellecedor-alumiblan125mm-8435112301004.html,Embellecedor Extraccion/Aire Tuberia 125Mmø Aluminio  Blanco Aluminio star Vacuf,"6,57 €","Vacuflex, S.L.",54155,Embellecedor Tuberia,Vacuflex,Unidad,194140,125Mm,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/21824-dehollinador-mantenimiento-maderacarbon-14-dosis-24628-12-3323430046286.html,Deshollinador Mantenimiento Madera/Carbon 14 Dosis 24628-12,"10,66 €","Saneaplast Metalsant, S.L.",82082,Deshollinador Mantenimiento,Pyro Feu,Unidad,24628-12,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/extractores/43994-codo-ex-aire-tubo-redondo-45x120mm-ign-aut-pp-bl-sist-120-t-8423828034095.html,Codo Extraccion/Aire Tubo Redondo 45ºx120Mm Ign/Aut Pp Bl Sist 120 T,"4,19 €",Industrias Gonal Hispania S.L.,123878,Codo Extraccion/Aire,Tubpla,Unidad,0876-C,120Mm,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/tubos-y-piezas-de-instalacion/43548-terminal-estufa-pellet-horiz-o80mm-inox-antilluvia-exojo-8430942039745.html,Terminal Estufa Pellet Horiz Ø80Mm Inox Antilluvia Exojo,"32,34 €","Exojo, S.L.",123056,Terminal Estufa,Exojo,Caja,PITERHA080,80Mm,,Climatizacion,Tubos y Piezas de Instalación
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/23879-recogedor-metalico-mango-madera-24x23-cm-8427514049639.html,Recogedor Metalico Mango Madera 24X23 Cm,"7,10 €",Imex-El Zorro S.L,97537,Recogedor,Imex El Zorro,Unidad,71302,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/estufas-de-lena/73722-horno-metalico-modelo-murano-8421994129140.html,Horno  Metalico  Modelo Murano,"1.736,35 €",Bronpi,MURANO,Horno,Bronpi,,,,,Climatizacion,Estufas de Leña
https://www.ferreteriasindustriales.es/extractores/495-remate-pared-redondo-ref-645-8423828064504.html,Remate Extraccion Aire Pared Redondo Blanco 645 Tubpla,"2,88 €",Industrias Gonal Hispania S.L.,5266,Remate Extraccion,Tubpla,Unidad,645,,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/ventilacion/46600-ventilador-torre-45w-3v-oscilante-bl-zaniah-vivah-8422680050694.html,Ventilador Torre 45W-3V Oscilante Bl Zaniah Vivah,"36,13 €",,104581,Ventilador Torre,Vivahogar,Unidad,VH104581,,,Climatizacion,Ventiladores
https://www.ferreteriasindustriales.es/accesorios-para-estufa-de-lena/21837-limpiacristales-antiollin-500mlpromo-lote-2-uds24512-12-8413380862106.html,Limpiacristales Antiollin 500Ml Promo Lote 2 Uds,"9,92 €","Saneaplast Metalsant, S.L.",82132,Limpiacristales,Pyro Feu,Unidad,24512-12,,,Climatizacion,Accesorios para Estufa de Leña
https://www.ferreteriasindustriales.es/calefaccion-electrica/39122-almohadilla-elec-univ-40x32cm-15w-5temp-imetec-8007403161835.html,Almohadilla Electrica  Universal 40X32Cm 15W 5Temperatura Imetec,"26,84 €",Tenacta S.L.,117625,Almohadilla Electrica,Imetec,Caja,HP-04,,,Climatizacion,Calefacción Eléctrica
https://www.ferreteriasindustriales.es/extractores/497-empalme-reductor-directo-r665-8423828086001.html,Manguito Extraccion/Aire Reductor Directo Blanco 665 Tubpla,"3,33 €",Industrias Gonal Hispania S.L.,5269,Manguito Extraccion,Tubpla,Unidad,665,,,Climatizacion,Extractores
https://www.ferreteriasindustriales.es/tubos-y-piezas-de-instalacion/631-codo-esmaltado-negro-110-mm-8424196754042.html,Codo Tubo Estufa 90º 110 Mm  Acero Esmaltado Negro Theca,"14,43 €",Talleres Hermanos Catalina S.A. -Theca-,6287,Codo Estufa,Theca,Unidad,7500404,110Mm,,Climatizacion,Tubos y Piezas de Instalación
